2026-03-25 03:03:52 | INFO     | poker | [CONNECTION] disconnected: user=2c48653d-399d-47db-8f74-737446355621 table=table_1
2026-03-25 03:05:13 | INFO     | poker | [SYSTEM] Poker game server stopped
2026-03-25 03:12:24 | INFO     | poker | ==================================================
2026-03-25 03:12:24 | INFO     | poker | Poker Game Server Started
2026-03-25 03:12:24 | INFO     | poker | ==================================================
2026-03-25 03:12:24 | INFO     | poker | [SYSTEM] Poker game server started
2026-03-25 03:13:12 | INFO     | poker | [GAME] table=table_1 event=table_created data={"name": "Table 1", "max_players": 9}
2026-03-25 03:13:12 | INFO     | poker | [GAME] table=table_1 event=player_joined data={"user_id": "2c48653d-399d-47db-8f74-737446355621", "username": "eric", "buy_in": 100}
2026-03-25 03:13:12 | INFO     | poker | [CONNECTION] connected: user=2c48653d-399d-47db-8f74-737446355621 table=table_1
2026-03-25 03:13:15 | INFO     | poker | [CONNECTION] disconnected: user=2c48653d-399d-47db-8f74-737446355621 table=table_1
2026-03-25 03:13:29 | INFO     | poker | [GAME] table=table_1 event=table_created data={"name": "test", "max_players": 6}
2026-03-25 03:13:32 | INFO     | poker | [GAME] table=table_1 event=player_joined data={"user_id": "2c48653d-399d-47db-8f74-737446355621", "username": "eric", "buy_in": 100}
2026-03-25 03:13:32 | INFO     | poker | [CONNECTION] connected: user=2c48653d-399d-47db-8f74-737446355621 table=table_1
2026-03-25 03:13:35 | INFO     | poker | [CONNECTION] disconnected: user=2c48653d-399d-47db-8f74-737446355621 table=table_1
2026-03-25 03:13:51 | INFO     | poker | [GAME] table=table_1 event=table_created data={"name": "csdqc", "max_players": 9}
2026-03-25 03:13:56 | INFO     | poker | [GAME] table=table_1 event=player_joined data={"user_id": "2c48653d-399d-47db-8f74-737446355621", "username": "eric", "buy_in": 100}
2026-03-25 03:13:56 | INFO     | poker | [CONNECTION] connected: user=2c48653d-399d-47db-8f74-737446355621 table=table_1
2026-03-25 03:14:19 | INFO     | poker | [CONNECTION] disconnected: user=2c48653d-399d-47db-8f74-737446355621 table=table_1
2026-03-25 03:18:29 | INFO     | poker | [SYSTEM] Poker game server stopped
2026-03-25 03:31:44 | INFO     | poker | ==================================================
2026-03-25 03:31:44 | INFO     | poker | Poker Game Server Started
2026-03-25 03:31:44 | INFO     | poker | ==================================================
2026-03-25 03:32:52 | INFO     | poker | ==================================================
2026-03-25 03:32:52 | INFO     | poker | Poker Game Server Started
2026-03-25 03:32:52 | INFO     | poker | ==================================================
2026-03-25 03:33:22 | INFO     | poker | ==================================================
2026-03-25 03:33:22 | INFO     | poker | Poker Game Server Started
2026-03-25 03:33:22 | INFO     | poker | ==================================================
2026-03-25 03:33:22 | INFO     | poker | [SYSTEM] Poker game server started
2026-03-25 03:34:24 | INFO     | poker | ==================================================
2026-03-25 03:34:24 | INFO     | poker | Poker Game Server Started
2026-03-25 03:34:24 | INFO     | poker | ==================================================
2026-03-25 03:34:24 | INFO     | poker | [SYSTEM] Poker game server started
2026-03-25 03:34:50 | INFO     | poker | ==================================================
2026-03-25 03:34:50 | INFO     | poker | Poker Game Server Started
2026-03-25 03:34:50 | INFO     | poker | ==================================================
2026-03-25 03:34:50 | INFO     | poker | [SYSTEM] Poker game server started
2026-03-25 03:35:12 | INFO     | poker | ==================================================
2026-03-25 03:35:12 | INFO     | poker | Poker Game Server Started
2026-03-25 03:35:12 | INFO     | poker | ==================================================
2026-03-25 03:35:12 | INFO     | poker | [SYSTEM] Poker game server started
2026-03-25 03:35:12 | INFO     | poker | [SYSTEM] Poker game server started
2026-03-25 03:40:28 | INFO     | poker | [SYSTEM] Poker game server stopped
2026-03-25 03:47:01 | INFO     | poker | ==================================================
2026-03-25 03:47:01 | INFO     | poker | Poker Game Server Started
2026-03-25 03:47:01 | INFO     | poker | ==================================================
2026-03-25 03:47:01 | INFO     | poker | [SYSTEM] Poker game server started
2026-03-25 03:47:01 | INFO     | poker | [SYSTEM] Poker game server started
2026-03-25 03:49:37 | INFO     | poker | [SYSTEM] Poker game server stopped
2026-03-25 03:51:39 | INFO     | poker | ==================================================
2026-03-25 03:51:39 | INFO     | poker | Poker Game Server Started
2026-03-25 03:51:39 | INFO     | poker | ==================================================
2026-03-25 03:51:39 | INFO     | poker | [SYSTEM] Poker game server started
2026-03-25 03:51:39 | INFO     | poker | [SYSTEM] Poker game server started
2026-03-25 03:53:34 | INFO     | poker | [SYSTEM] Poker game server stopped
2026-03-25 03:54:26 | INFO     | poker | ==================================================
2026-03-25 03:54:26 | INFO     | poker | Poker Game Server Started
2026-03-25 03:54:26 | INFO     | poker | ==================================================
2026-03-25 03:54:26 | INFO     | poker | [SYSTEM] Poker game server started
2026-03-25 03:54:26 | INFO     | poker | [SYSTEM] Poker game server started
2026-03-25 03:56:49 | INFO     | poker | [GAME] table=table_2 event=table_created data={"name": "Table 2", "max_players": 9}
2026-03-25 03:56:56 | INFO     | poker | [GAME] table=table_3 event=table_created data={"name": "Table 3", "max_players": 9}
2026-03-25 04:00:34 | INFO     | poker | [SYSTEM] Poker game server stopped
2026-03-25 04:03:34 | INFO     | poker | ==================================================
2026-03-25 04:03:34 | INFO     | poker | Poker Game Server Started
2026-03-25 04:03:34 | INFO     | poker | ==================================================
2026-03-25 04:03:35 | INFO     | poker | [SYSTEM] Poker game server started
2026-03-25 04:03:35 | INFO     | poker | [SYSTEM] Poker game server started
2026-03-25 04:04:12 | INFO     | poker | [SYSTEM] Poker game server stopped
2026-03-25 04:05:38 | INFO     | poker | ==================================================
2026-03-25 04:05:38 | INFO     | poker | Poker Game Server Started
2026-03-25 04:05:38 | INFO     | poker | ==================================================
2026-03-25 04:05:38 | INFO     | poker | [SYSTEM] Poker game server started
2026-03-25 04:05:38 | INFO     | poker | [SYSTEM] Poker game server started
2026-03-25 04:09:28 | INFO     | poker | [SYSTEM] Poker game server stopped
2026-03-25 04:09:33 | INFO     | poker | ==================================================
2026-03-25 04:09:33 | INFO     | poker | Poker Game Server Started
2026-03-25 04:09:33 | INFO     | poker | ==================================================
2026-03-25 04:09:33 | INFO     | poker | [SYSTEM] Poker game server started
2026-03-25 04:09:33 | INFO     | poker | [SYSTEM] Poker game server started
2026-03-25 04:10:15 | INFO     | poker | [SYSTEM] Poker game server stopped
2026-03-25 04:15:04 | INFO     | poker | ==================================================
2026-03-25 04:15:04 | INFO     | poker | Poker Game Server Started
2026-03-25 04:15:04 | INFO     | poker | ==================================================
2026-03-25 04:15:04 | INFO     | poker | [SYSTEM] Poker game server started
2026-03-25 04:17:24 | INFO     | poker | [SYSTEM] Poker game server stopped
2026-03-25 04:17:57 | INFO     | poker | ==================================================
2026-03-25 04:17:57 | INFO     | poker | Poker Game Server Started
2026-03-25 04:17:57 | INFO     | poker | ==================================================
2026-03-25 04:17:57 | INFO     | poker | [SYSTEM] Poker game server started
2026-03-25 04:19:27 | INFO     | poker | [SYSTEM] Poker game server stopped
2026-03-25 04:20:45 | INFO     | poker | ==================================================
